SHS_1,SHS_2,SHS_3,SHS_4R,STRESS_1,STRESS_2R,STRESS_3R,STRESS_4,PURPOSE_1,PURPOSE_2,PURPOSE_3,PURPOSE_4,PURPOSE_5,PURPOSE_6,PURPOSE_7,PURPOSE_8,LONELY_1R,LONELY_2,LONELY_3R,LONELY_4,Peer_Nomination,Peer_Happy/Cheerful,Peer_Irritable/Agitated,Peer_Content/Satisfied,Peer_Optimistic/Hopeful,Peer_Dissatisfied/Complaining,Peer_Compassionate/Nurturing,Peer_Kind/Friendly,Peer_Sad/Somber,Peer_Hostile/Argumentative,Peer_Calm/Relaxed,Peer_Distracted/Absent-minded,Peer_Cooperative/Harmonious,Peer_Anxious/Stressed,Peer_Self-critical/Hopeless,Peer_Forgiving/Generous,Peer_Grateful/Appreciative,Peer_Quality,Weeks_Completed,Why_Not_Complete,Why_Not_Complete_TEXT,Weekly_Hours,Weekly_Hours_TEXT,Applied_to_life,Applied_to_life_TEXT,Impact_Happiness,Impact_Relationships,Impact_Work,Impact_Compassion,Impact_Altruism,Impact_Academic,Impact_TEXT,Rate_EMST,Rate_DK,Rate_Guests,Rate_Readings,Rate_Discussions,Rate_Problem_Sets,Rate_Exams,Rate_Check_ins,Rate_Happiness_Practices,Rate_LIVE_Q/A,Forums_Participate,Forums_Community_TA,Forums_Community_TA_TEXT,Forums_NO_TEXT,Value_Week1,Value_Week2,Value_Week3,Value_Week4,Value_Week6,Value_Week7,Value_Week8,Value_Week9,Value_TEXT,Frequency_3_Good_Things,Frequency_Active_Listening,Frequency_Random_Kindness,Frequency_Forgiveness,Frequency_Mindful_Breathing,Frequency_Body_Scan,Frequency_Meditation,Frequency_Self_Compassion_Letter,Frequency_Ideal_Self,Frequency_Gratitude_Journal,Frequency_Gratitude_Letter,Frequency_Awe_Walk,Happiness_3_Good_Things,Happiness_Active_Listening,Happiness_Random_Kindness,Happiness_Forgiveness,Happiness_Mindful_Breathing,Happiness_Body_Scan,Happiness_Meditation,Happiness_Self_Compassion_Letter,Happiness_Ideal_Self,Happiness_Gratitude_Journal,Happiness_Gratitude_Letter,Happiness_Awe_Walk,Happiness_Team_Participate,Happiness_Team_Name,Team_Meeting_Frequency,Team_Meeting_Location,Team_Discussion_Qs,Team_Course_Material,Team_Happiness_Practices,Team_Happiness_Cinema,Team_Group_Project,Team_TEXT,Team_Satisfaction,Team_Suggestions_TEXT,Course_Expectation,Course_Satisfaction,Course_Like_Most_TEXT,Course_Recommend,GGSC_Visit,edx_Changes_TEXT,Course_Changes_TEXT
(6),More happy (7),(6),(2),Never,Very Often,Never,Never,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Often,Rarely,Often,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,Week 9: Finding Your Happiness Fit & New Frontiers,,,5 hours,,Extensively,"It saved my life, my marriage, my relationship with friends, What else? ",Immensely,Immensely,Immensely,Immensely,Immensely,Immensely,"It was a life changing course, I'll always be grateful for this opportunity.Thank you very, very much.  ",Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Yes,Yes,"a Post at community, was very helpful in a way that made clear my doubts about being kind to others. ",I participated because i feel that it would made clear some concepts for me. ,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,"All of them were incredible, I applied each one on my daily life and found that they were really useful. I feel that it changed me an made my life better. ",More than 10 times,More than 10 times,7-8 times,1-2 times,More than 10 times,More than 10 times,0 times,1-2 times,1-2 times,3-4 times,1-2 times,1-2 times,7- Extremely,7- Extremely,6,5,7- Extremely,7- Extremely,N/A (I didn't do it),7- Extremely,7- Extremely,7- Extremely,7- Extremely,7- Extremely,"Yes, as a member",Don't remember.,Never,,Never,Never,Never,Never,Never,"Nothing, surprisingly. ",Not at all,"It could be better to connect them through Facebook or Twitter, social network made you interact more",Mostly,Very,"The scientific perspective, it was very engaging. ",Yes,Yes,"Maybe, the windows for the surveys could be bigger, and more easy to see and write. ","I think it's perfect this way, maybe it could be easier to have less to read and more to live. But I sure loved the course."
(6),(6),(4),Not at all (1),Sometimes,Fairly Often,Fairly Often,Almost Never,Slightly Agree,Slightly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Sometimes,Sometimes,Sometimes,Yes,3 - Moderately,1 - Not at all,3 - Moderately,4 - Very,1 - Not at all,3 - Moderately,4 - Very,1 - Not at all,1 - Not at all,4 - Very,1 - Not at all,4 - Very,1 - Not at all,1 - Not at all,4 - Very,3 - Moderately,4 - Good,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,7 hours,,Moderately,,Moderately,Very much,Moderately,Very much,Very much,Very much,,Satisfactory,Good,Satisfactory,Good,Poor,Good,Terrific,Poor,Good,Good,Yes,No,,They didn't seem very interactive. I liked the Facebook group better though I'd like a different platform. FB can become a black hole.,Moderately,Extremely,Very,Moderately,Extremely,Extremely,Extremely,Moderately,,3-4 times,1-2 times,3-4 times,6-7 times,3-4 times,0 times,1-2 times,0 times,1-2 times,3-4 times,0 times,1-2 times,7- Extremely,2,4,2,6,N/A (I didn't do it),2,N/A (I didn't do it),1-Not at all,3,N/A (I didn't do it),2,"Yes, as a member",Coaching #2,Never,,Never,Never,Never,Never,Never,"The group was inactive from the beginning, so I stopped checking in with them.",Not at all,Whoever leads one needs to actually DO something.,Mostly,Very,The science! I can use this in my grad coursework.,Yes,Yes,"Change the forum to something more active if possible. When you have live videos, it would be awesome if you hosted it on a meeting type platform. This would allow us to ask questions and get answers more efficiently. Go to meeting is one, but there are others, like Zoom. The FB group was a bit more actively engaged, but I'm restricting my interaction on FB b/c it's a black hole of dispair (especially right now - 11/9/16). Is there some other social platform that could be used?",See above.
(5),(4),(6),(5),Almost Never,Fairly Often,Fairly Often,Never,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,,Strongly Agree,Often,Rarely,Often,Never,Yes,5 - Extremely,1 - Not at all,5 - Extremely,5 - Extremely,2 - Slightly,4 - Very,5 - Extremely,1 - Not at all,1 - Not at all,5 - Extremely,1 - Not at all,5 - Extremely,1 - Not at all,2 - Slightly,5 - Extremely,5 - Extremely,6 - Excellent,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,3 hours,,Moderately,"I am practicing meditation each day and working to be more in the moment, less self-critical.  I'm trying out the Gratitude Journal and really want to do more gratitude letters to people who have made a difference in my life. ",Moderately,Slightly,,Moderately,Very much,,"I am working on my attitude towards my husband and our relationship, being less critical of him and appreciating what he brings to our relationship more.",Terrific,Terrific,Terrific,Good,,Satisfactory,Satisfactory,Good,Terrific,Satisfactory,Yes,No,,"I started out participating, but quickly got overwhelmed with the number and range of comments. ",Very,Very,Extremely,Very,Extremely,Extremely,Extremely,Moderately,,1-2 times,More than 10 times,1-2 times,0 times,9-10 times,1-2 times,1-2 times,1-2 times,1-2 times,1-2 times,1-2 times,3-4 times,2,5,4,N/A (I didn't do it),5,3,2,5,5,6,7- Extremely,6,No,,,,,,,,,,,,Completely,Extremely,"I appreciated the meshing of the 'woo-woo' with science;  understanding concepts from neuro-, bio-, psychologic, emotional, historical and evolutionary aspects.",Yes,Yes,,
(6),(5),(5),Not at all (1),Sometimes,Fairly Often,Sometimes,Almost Never,Slightly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Often,Rarely,Often,Rarely,Yes,4 - Very,1 - Not at all,4 - Very,4 - Very,2 - Slightly,4 - Very,5 - Extremely,1 - Not at all,1 - Not at all,4 - Very,2 - Slightly,5 - Extremely,2 - Slightly,2 - Slightly,4 - Very,5 - Extremely,7 - Exceptional,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,6 hours,,A Lot,Started to meditate and write diary on three good things/gratitude journal,Moderately,Moderately,Moderately,Very much,Very much,Moderately,,Terrific,Terrific,Good,Good,Satisfactory,Good,Terrific,Good,Terrific,Good,Yes,Yes,,"Partly, because it is expected, partly, because I felt the wish to express myself.",Very,Very,Extremely,Very,Extremely,Very,Extremely,Moderately,,7-8 times,0 times,1-2 times,0 times,4-5 times,3-4 times,7-8 times,0 times,0 times,3-4 times,0 times,1-2 times,2,,3,,2,3,5,,,5,,,No,,,,,,,,,,,,Completely,Extremely,,Yes,Yes,,
(4),(4),(3),(3),Sometimes,Sometimes,Sometimes,Sometimes,Slightly Disagree,Mixed/ Neither,Slightly Agree,Agree,Slightly Agree,Slightly Agree,Mixed/ Neither,Slightly Agree,Sometimes,Rarely,Sometimes,Sometimes,Yes,4 - Very,1 - Not at all,4 - Very,3 - Moderately,1 - Not at all,5 - Extremely,5 - Extremely,1 - Not at all,1 - Not at all,4 - Very,2 - Slightly,5 - Extremely,2 - Slightly,2 - Slightly,4 - Very,5 - Extremely,7 - Exceptional,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,More than 7 hours (please specify),10,Moderately,"so far just being aware of the content, now I hope to start to apply it",Moderately,Moderately,Moderately,Moderately,Very much,Immensely,,Terrific,Terrific,Good,Terrific,Good,Good,Good,Good,Terrific,Good,Yes,Yes,,I think is a way to reinforce what I learned,Very,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Very,"I considerer them like steps in a ladder to be a better version of myself, I have the foundations, now I have, and want to use it",More than 10 times,5-6 times,More than 10 times,3-4 times,9-10 times,1-2 times,1-2 times,1-2 times,1-2 times,1-2 times,0 times,0 times,5,3,5,3,3,1-Not at all,2,2,2,2,1-Not at all,1-Not at all,"Yes, as a member",Coosinergias,More than 10 times,In someone's home,,Sometimes,,,Often,,Moderately,,Mostly,Very,"scientific resources, inclusive wiew , not just one culture, religion, philosophy, but worldwide",Yes,Yes,,I think the amount of hours needed is more than announced and certificated
(5),(5),(3),(3),Sometimes,Very Often,Very Often,Almost Never,Slightly Agree,Slightly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Rarely,Often,Rarely,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,1 hour,,Moderately,,Moderately,Moderately,Slightly,Very much,Very much,,,Good,Good,Good,Good,,Good,Good,Good,Satisfactory,,No,,,,Very,Extremely,Extremely,Very,Extremely,Very,Extremely,Moderately,,1-2 times,5-6 times,4-5 times,0 times,9-10 times,5-6 times,3-4 times,0 times,0 times,0 times,0 times,4-5 times,3,3,5,N/A (I didn't do it),4,3,3,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),3,No,,,,,,,,,,,,Completely,Extremely,,Yes,No,,
(3),(3),(2),(5),Very Often,Sometimes,Sometimes,Fairly Often,Slightly Disagree,Disagree,Slightly Disagree,Mixed/ Neither,Mixed/ Neither,Mixed/ Neither,Mixed/ Neither,Mixed/ Neither,Sometimes,Sometimes,Rarely,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,3 hours,,A Little,,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Satisfactory,Poor,Satisfactory,Satisfactory,Yes,Yes,The posts seemed quite on the surface... This meant it wasn't really thinking about happiness the same way I do.,,Moderately,Moderately,Very,Very,Moderately,Moderately,Moderately,Moderately,,0 times,More than 10 times,0 times,1-2 times,3-4 times,7-8 times,0 times,0 times,0 times,0 times,0 times,9-10 times,N/A (I didn't do it),4,N/A (I didn't do it),N/A (I didn't do it),3,4,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),,No,,,,,,,,,,,,Mostly,Moderately,Comprehensive coverage of research in the area.,Yes,Yes,"Oh gosh, so many... It's still being formed it looks like.","The course isn't really about happiness to me... It's about normal balanced sense of functioning... Psychological health and stability and safety. 

There's a lot of texture to these feelings and this needs to be explored. Happiness is so limited."
(6),(6),(6),(5),Fairly Often,Fairly Often,Almost Never,Sometimes,Strongly Agree,Agree,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Sometimes,Sometimes,Sometimes,Sometimes,,3 - Moderately,2 - Slightly,3 - Moderately,3 - Moderately,2 - Slightly,3 - Moderately,4 - Very,2 - Slightly,1 - Not at all,3 - Moderately,2 - Slightly,3 - Moderately,3 - Moderately,2 - Slightly,2 - Slightly,4 - Very,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,2 hours,,Extensively,,Immensely,Very much,Immensely,Very much,Very much,Very much,,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Good,Terrific,Terrific,,Yes,,,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,,9-10 times,More than 10 times,6-7 times,9-10 times,9-10 times,6-7 times,7-8 times,1-2 times,9-10 times,More than 10 times,1-2 times,More than 10 times,7- Extremely,7- Extremely,5,6,6,4,5,3,7- Extremely,6,2,7- Extremely,No,,,,,,,,,,,,Completely,Extremely,The insights it have me.,Yes,Yes,,
(5),(5),(5),(2),Almost Never,Fairly Often,Fairly Often,Almost Never,Agree,Slightly Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Often,Sometimes,Sometimes,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,2 hours,,A Lot,,Very much,Very much,Moderately,Very much,Very much,Very much,,Terrific,Terrific,Terrific,Terrific,Good,Terrific,Terrific,Terrific,Good,Good,No,,,,Very,Very,Very,Very,Very,Very,Extremely,Very,,0 times,0 times,3-4 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,3-4 times,N/A (I didn't do it),N/A (I didn't do it),6,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),7- Extremely,No,,,,,,,,,,,,Completely,Extremely,,Yes,Yes,,
(5),(5),(5),(6),Sometimes,Sometimes,Sometimes,Sometimes,Slightly Agree,Agree,Slightly Agree,Agree,Agree,Agree,Slightly Agree,Slightly Agree,Sometimes,Rarely,Often,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,5 hours,,A Lot,I have tried to apply quite almost of the material proposed in this course .I knew a lot of them but it was very interesting to discover this toolsin a scientific way,Very much,Moderately,Very much,Very much,Moderately,Very much,All this course was very interesting and allowed me to synthétize all my separate aknoledgment about hapiness. That give me more sens to practice,Terrific,Terrific,Terrific,Good,Satisfactory,Good,Good,Good,Terrific,Good,No,,,Never because I'm french and my english is not so good,Very,Extremely,Extremely,Extremely,Extremely,Very,Extremely,Very,,,,,,,,,,,,,,5,6,5,7- Extremely,7- Extremely,6,7- Extremely,7- Extremely,5,7- Extremely,5,7- Extremely,No,,,,,,,,,,,,Completely,Extremely,,Yes,Yes,"Little shorter readings or, maybe, synthesis for some readings",CONTINUE !!
A very happy person (7),More happy (7),(6),Not at all (1),Almost Never,Fairly Often,Fairly Often,Never,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Sometimes,Sometimes,Often,Never,Yes,4 - Very,1 - Not at all,4 - Very,4 - Very,1 - Not at all,4 - Very,4 - Very,1 - Not at all,1 - Not at all,4 - Very,1 - Not at all,4 - Very,1 - Not at all,1 - Not at all,4 - Very,4 - Very,6 - Excellent,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,More than 7 hours (please specify),8 hours,A Lot,,Very much,Very much,Moderately,Very much,Very much,Very much,,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Terrific,Good,Terrific,Yes,Yes,,I participated when I thought I had something to say. That is on a particular subject or to a person that was looking for advice.,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,Extremely,The topics were like links in a chain. When you complete the course you realice each link was very valuable to make it round and complete.,More than 10 times,More than 10 times,More than 10 times,1-2 times,5-6 times,0 times,0 times,1-2 times,1-2 times,0 times,1-2 times,More than 10 times,7- Extremely,7- Extremely,7- Extremely,7- Extremely,7- Extremely,N/A (I didn't do it),N/A (I didn't do it),7- Extremely,7- Extremely,N/A (I didn't do it),7- Extremely,7- Extremely,No,,,,,,,,,,,,Completely,Extremely,"This is the first time I take an on-line course and I thought it would be cold and distant. Was pleasantly surprised that it was warm, close and almost personal.",Yes,Yes,,"Best practices were all great. But some need more time than others (practices and people) I would put an ""Observations"" space when giving weekly feedback. For example. I count my blessings every night when I pray  so I didn´t  need ""Three Good Things"" but I never got the chance to explain that to you. I find tha practice is excellent only I do it in a different way. The same happend with ""Body Scan"" of ""Kindness Meditation"" I didn´t get to them because I am still in ""Mindful Breathing"" but I am sure -once I master the first-, I can move on. I didn't get a chance to explain that to you either."
(6),(5),(4),(2),Almost Never,Very Often,Fairly Often,Almost Never,Slightly Agree,Slightly Agree,Slightly Agree,Slightly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Often,Rarely,Sometimes,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,4 hours,,Moderately,,Very much,Moderately,Moderately,Very much,Very much,Moderately,,Terrific,Terrific,Terrific,Terrific,Terrific,Good,Good,Good,Terrific,Good,,Yes,,I mostly just read all the posts.,Very,Very,Extremely,Very,Extremely,Extremely,Very,Very,,1-2 times,1-2 times,4-5 times,1-2 times,More than 10 times,More than 10 times,More than 10 times,1-2 times,1-2 times,3-4 times,1-2 times,5-6 times,5,4,6,4,7- Extremely,6,6,2,4,4,3,6,No,,,,,,,,,,,,Completely,Extremely,,Yes,Yes,,
(4),(4),(4),(4),Almost Never,Fairly Often,Fairly Often,Sometimes,Agree,Mixed/ Neither,Mixed/ Neither,Mixed/ Neither,Slightly Agree,Agree,Agree,Agree,Sometimes,Sometimes,Sometimes,Often,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,4 hours,,A Little,Started yoga lessons,Slightly,Not at all,Not at all,Not at all,Not at all,Slightly,,Terrific,Terrific,Good,Terrific,Good,Good,Good,Good,Good,Good,Yes,Yes,,Not enough time,Very,Very,Very,Moderately,Very,Very,Moderately,Very,,1-2 times,1-2 times,0 times,0 times,3-4 times,3-4 times,1-2 times,0 times,0 times,0 times,0 times,1-2 times,1-Not at all,1-Not at all,N/A (I didn't do it),N/A (I didn't do it),2,2,3,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),3,No,,,,,,,,,,,,Somewhat,Moderately,Very informative,Yes,No,,
(3),(3),(3),(5),Sometimes,Sometimes,Sometimes,Sometimes,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Rarely,Often,Rarely,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,4 hours,,A Little,,Slightly,Slightly,,Slightly,Slightly,,,Good,Satisfactory,Good,Terrific,Satisfactory,Terrific,Terrific,Satisfactory,Good,Good,No,,,There were too many people to follow.,Very,Very,Very,Very,Extremely,Very,Very,Extremely,,0 times,1-2 times,0 times,0 times,3-4 times,3-4 times,0 times,0 times,0 times,0 times,0 times,1-2 times,N/A (I didn't do it),2,N/A (I didn't do it),N/A (I didn't do it),3,3,N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),N/A (I didn't do it),2,No,,,,,,,,,,,,Somewhat,Moderately,,Yes,Yes,,
(5),(5),(4),(3),Almost Never,Very Often,Fairly Often,Almost Never,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Often,Never,Often,Rarely,Yes,4 - Very,2 - Slightly,4 - Very,4 - Very,2 - Slightly,5 - Extremely,5 - Extremely,2 - Slightly,2 - Slightly,4 - Very,2 - Slightly,4 - Very,1 - Not at all,1 - Not at all,4 - Very,5 - Extremely,6 - Excellent,Week 1: Introduction to the Science of Happiness,,,3 hours,,A Little,There were a key few exercises or stats that I remembered. Awe and random acts of kindness are the easiest for me to apply everyday because I feel as if I already implement them in my life.,Not at all,Moderately,Slightly,Not at all,Not at all,Not at all,"I tried to remember several of the practices outlined in this course to practice in my everyday life, however sometimes time got away from me or I was frustrated/stressed with something or another. I also don't feel like it impacted my ability to help others or compassion for the world because I feel as if I had already practiced these things in my life.",Good,Good,Satisfactory,Poor,Satisfactory,Good,Good,Good,Satisfactory,Satisfactory,Yes,Yes,Not that I can remember. There were a few posts that emulated how I felt about the week's discussion topics so I commented on those instead of writing my own thoughts.,"I wanted to be engaged in the course. Since I didn't know anyone else taking it, I wanted to have some interactions with real people and feel like I had similar thoughts to others.",Very,Very,Very,Moderately,Moderately,Moderately,Very,Moderately,"It was easier for me to find the sections that I already practiced more helpful. I think it was harder for me to feel engaged in sections like mindfulness and forgiveness because I inherently don't practice these. While I believe in the power of meditation and understand how important it is to be forgiving, it's harder for me to practice these.",1-2 times,9-10 times,6-7 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,0 times,9-10 times,1-Not at all,5,6,1-Not at all,3,2,2,1-Not at all,1-Not at all,N/A (I didn't do it),N/A (I didn't do it),6,No,,,,,,,,,,,,Somewhat,Moderately,I enjoyed the lectures and learning about the science behind happiness. I enjoyed learning about how examining happiness has existed for some time and the biological components to happiness.,Yes,Yes,"Sometimes it was hard to deal with the Qualtrics surveys imbedded into the course. I also was not a fan of the progress chart including the weekly check in's since they weren't graded. While I took this class for pleasure, I also was invested in doing well so I didn't like that if I had a bad week, that impacted the score for this class.","I was not a fan of the readings after the lectures that presented the same information. There were some readings/lectures that had the same activities, scientists, theories, etc. I would have rather read or listened to the information once."
A very happy person (7),More happy (7),(5),(2),Never,Very Often,Sometimes,Sometimes,Slightly Agree,Slightly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Slightly Agree,Strongly Agree,Often,Sometimes,Often,Sometimes,No or don't remember,,,,,,,,,,,,,,,,,,"Week 7: Mental Habits of Happiness,Week 8: Gratitude,Week 3: Kindness & Compassion,Week 6: Mindfulness,Week 9: Finding Your Happiness Fit & New Frontiers,Week 1: Introduction to the Science of Happiness,Week 2: The Power of Social Connection,Week 4: Cooperation & Reconciliation",,,2 hours,,A Lot,,Slightly,Not at all,Not at all,Slightly,Very much,Very much,"I'm a life-coach, so I took lots of ideas & researches into my clinic",Satisfactory,Good,Terrific,Satisfactory,Poor,Poor,Satisfactory,Satisfactory,Terrific,Terrible,Yes,Yes,nope,Not relevant and not educational,Very,Extremely,Extremely,Very,Extremely,Extremely,Extremely,Moderately,"Week 8's exercise had such an impact on me, that I developed a 'Happiness Journal' App (Google store) for everyone to use!",More than 10 times,More than 10 times,1-2 times,3-4 times,7-8 times,More than 10 times,0 times,3-4 times,3-4 times,More than 10 times,3-4 times,5-6 times,7- Extremely,7- Extremely,3,5,6,7- Extremely,N/A (I didn't do it),6,7- Extremely,7- Extremely,6,7- Extremely,No,,,,,,,,,,,,Mostly,Very,"Research references, self exercises",Yes,Yes,,"Since English is not everyone's language, questions in Sets and Exams should be more 'straight-forward' and less complex  "
